Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,고토쿠지 미케,豪徳寺 ミケ,Mike Goutokuji
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,야마시로 타카네,山城 たかね,Takane Yamashiro
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,코마쿠사 산뇨,駒草 山如,Sannyo Komakusa
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,타마츠쿠리 미스마루,玉造 魅須丸,Misumaru Tamatsukuri
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,쿠다마키 츠카사,菅牧 典,Tsukasa Kudamaki
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,이즈나마루 메구무,飯綱丸 龍,Megumu Iizunamaru
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,텐큐 치마타,天弓 千亦,Chimata Tenkyuu
Characters,Unconnected Marketeers,人妖部門,東方虹龍洞,인요부문,동방홍룡동,히메무시 모모요,姫虫 百々世,Momoyo Himemushi
Characters,Sunken Fossil World,人妖部門,東方剛欲異聞,인요부문,동방강욕이문,토테츠 유마,饕餮 尤魔,Yuma Toutetsu
Characters,Unfinished Dream of All Living Ghost,人妖部門,東方獣王園,인요부문,동방수왕원,손미천,孫 美天,Biten Son
Characters,Unfinished Dream of All Living Ghost,人妖部門,東方獣王園,인요부문,동방수왕원,미츠가시라 에노코,三頭 慧ノ子,Enoko Mitsugashira
Characters,Unfinished Dream of All Living Ghost,人妖部門,東方獣王園,인요부문,동방수왕원,텐카진 치야리,天火人 ちやり,Chiyari Tenkajin
Characters,Unfinished Dream of All Living Ghost,人妖部門,東方獣王園,인요부문,동방수왕원,요모츠 히사미,豫母都 日狭美,Hisami Yomotsu
Characters,Unfinished Dream of All Living Ghost,人妖部門,東方獣王園,인요부문,동방수왕원,닛파쿠 잔무,日白 残無,Zanmu Nippaku
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,치리즈카 우바메,塵塚 ウバメ,Ubame Chirizuka
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,호쥬 치미,封獣 チミ,Chimi Houju
Characters,Fossilized Wonders,人妖部門,東方錦上京,인요부문,동방금상경,미치가미 나레코,道神 馴子,Nareko Michigami
