Major_Category_ko,Sub_Category_ko,Korean,Major_Category_ja,Sub_Category_ja,Japanese,Major_Category_en,Sub_Category_en,English
인요부문,동방강욕이문,토테츠 유마,人妖部門,東方剛欲異聞,饕餮 尤魔,Characters,Sunken Fossil World,Yuma Toutetsu
인요부문,동방수왕원,손미천,人妖部門,東方獣王園,孫 美天,Characters,Unfinished Dream of All Living Ghost,Biten Son
인요부문,동방수왕원,미츠가시라 에노코,人妖部門,東方獣王園,三頭 慧ノ子,Characters,Unfinished Dream of All Living Ghost,Enoko Mitsugashira
인요부문,동방수왕원,텐카진 치야리,人妖部門,東方獣王園,天火人 ちやり,Characters,Unfinished Dream of All Living Ghost,Chiyari Tenkajin
인요부문,동방수왕원,요모츠 히사미,人妖部門,東方獣王園,豫母都 日狭美,Characters,Unfinished Dream of All Living Ghost,Hisami Yomotsu
인요부문,동방수왕원,닛파쿠 잔무,人妖部門,東方獣王園,日白 残無,Characters,Unfinished Dream of All Living Ghost,Zanmu Nippaku
인요부문,동방금상경,치리즈카 우바메,人妖部門,東方錦上京,塵塚 ウバメ,Characters,Fossilized Wonders,Ubame Chirizuka
인요부문,동방금상경,호쥬 치미,人妖部門,東方錦上京,封獣 チミ,Characters,Fossilized Wonders,Chimi Houju
인요부문,동방금상경,미치가미 나레코,人妖部門,東方錦上京,道神 馴子,Characters,Fossilized Wonders,Nareko Michigami
인요부문,동방금상경,유이만 아사마,人妖部門,東方錦上京,ユイマン・ 浅間,Characters,Fossilized Wonders,Yuiman Asama
인요부문,동방금상경,이와나가 아리야,人妖部門,東方錦上京,磐永 阿梨夜,Characters,Fossilized Wonders,Ariya Iwanaga
인요부문,동방금상경,와타리 니나,人妖部門,東方錦上京,渡里 ニナ,Characters,Fossilized Wonders,Nina Watari
인요부문,동방영이전,신교쿠,人妖部門,東方靈異伝,シンギョク,Characters,Highly Responsive to Prayers,SinGyoku Gatekeeper
인요부문,동방영이전,유겐마간,人妖部門,東方靈異伝,ユウゲンマガン,Characters,Highly Responsive to Prayers,YuugenMagan Evil Eyes
인요부문,동방영이전,엘리스,人妖部門,東方靈異伝,エリス,Characters,Highly Responsive to Prayers,Elis Innocent Devil
인요부문,동방영이전,사리엘,人妖部門,東方靈異伝,サリエル,Characters,Highly Responsive to Prayers,Sariel Angel of Death
인요부문,동방영이전,키쿠리,人妖部門,東方靈異伝,キクリ,Characters,Highly Responsive to Prayers,Kikuri Hellish Moon
인요부문,동방영이전,콘가라,人妖部門,東方靈異伝,コンガラ,Characters,Highly Responsive to Prayers,Konngara Astral Knight
인요부문,동방봉마록,겐 영감님,人妖部門,東方封魔録,玄爺,Characters,Story of Eastern Wonderland,Genjii
인요부문,동방봉마록,리카,人妖部門,東方封魔録,里香,Characters,Story of Eastern Wonderland,Rika
인요부문,동방봉마록,메이라,人妖部門,東方封魔録,明羅,Characters,Story of Eastern Wonderland,Meira
인요부문,동방봉마록,미마,人妖部門,東方封魔録,魅魔,Characters,Story of Eastern Wonderland,Mima Revengeful Ghost
인요부문,동방몽시공,엘렌,人妖部門,東方夢時空,エレン,Characters,Phantasmagoria of Dim.Dream,Ellen
인요부문,동방몽시공,코토히메,人妖部門,東方夢時空,小兎姫,Characters,Phantasmagoria of Dim.Dream,Kotohime
인요부문,동방몽시공,카나 아나베랄,人妖部門,東方夢時空,カナ・アナベラル,Characters,Phantasmagoria of Dim.Dream,Kana Anaberal
인요부문,동방몽시공,아사쿠라 리카코,人妖部門,東方夢時空,朝倉 理香子,Characters,Phantasmagoria of Dim.Dream,Rikako Asakura
인요부문,동방몽시공,키타시라카와 치유리,人妖部門,東方夢時空,北白河 ちゆり,Characters,Phantasmagoria of Dim.Dream,Chiyuri Kitashirakawa
인요부문,동방몽시공,오카자키 유메미,人妖部門,東方夢時空,岡崎 夢美,Characters,Phantasmagoria of Dim.Dream,Yumemi Okazaki
인요부문,동방환상향,오렌지,人妖部門,東方幻想郷,オレンジ,Characters,Lotus Land Story,Orange
인요부문,동방환상향,쿠루미,人妖部門,東方幻想郷,くるみ,Characters,Lotus Land Story,Kurumi
인요부문,동방환상향,엘리,人妖部門,東方幻想郷,エリー,Characters,Lotus Land Story,Elly
인요부문,동방환상향,무게츠,人妖部門,東方幻想郷,夢月,Characters,Lotus Land Story,Mugetsu
인요부문,동방환상향,겐게츠,人妖部門,東方幻想郷,幻月,Characters,Lotus Land Story,Gengetsu
인요부문,동방괴기담,사라,人妖部門,東方怪綺談,サラ,Characters,Mystic Square,Sara
인요부문,동방괴기담,루이즈,人妖部門,東方怪綺談,ルイズ,Characters,Mystic Square,Louise
인요부문,동방괴기담,유키,人妖部門,東方怪綺談,ユキ,Characters,Mystic Square,Yuki
인요부문,동방괴기담,마이,人妖部門,東方怪綺談,マイ,Characters,Mystic Square,Mai
인요부문,동방괴기담,유메코,人妖部門,東方怪綺談,夢子,Characters,Mystic Square,Yumeko
인요부문,동방괴기담,신키,人妖部門,東方怪綺談,神綺,Characters,Mystic Square,Shinki
인요부문,봉래인형,자켓소녀,人妖部門,蓬莱人形,蓬莱人形ジャケットイラストの娘,Characters,Dolls in Pseudo Paradise,The girl on the Houral Doll jacket
인요부문,봉래인형,라벨소녀,人妖部門,蓬莱人形,蓬莱人形レーベルイラストの娘,Characters,Dolls in Pseudo Paradise,The girl on the Houral Doll label
인요부문,비봉구락부,우사미 렌코,人妖部門,秘封倶楽部,宇佐見 蓮子,Characters,Hifuu Club,Renko Usami
인요부문,비봉구락부,마에리베리 한,人妖部門,秘封倶楽部,マエリベリー・ハーン,Characters,Hifuu Club,Maribel Hearn
인요부문,동방구문사기 / 동방구문구수,히에다노 아큐,人妖部門,東方求聞史紀,稗田 阿求,Characters,Touhou Gumon (Gensokyo Chronicle),Hieda no Akyuu
인요부문,동방향림당,모리치카 린노스케,人妖部門,東方香霖堂,森近 霖之助,Characters,Curiosities of Lotus Asia,Rinnosuke Morichika
인요부문,동방향림당,라이카,人妖部門,東方香霖堂,ライカ,Characters,Curiosities of Lotus Asia,Laika
인요부문,동방삼월정,서니 밀크,人妖部門,東方三月精,サニーミルク,Characters,Touhou Sangetsusei,Sunny Milk
인요부문,동방삼월정,루나 차일드,人妖部門,東方三月精,ルナチャイルド,Characters,Touhou Sangetsusei,Luna Child
인요부문,동방삼월정,스타 사파이어,人妖部門,東方三月精,スターサファイア,Characters,Touhou Sangetsusei,Star Sapphire
인요부문,동방맹월초,와타츠키노 토요히메,人妖部門,東方儚月抄,綿月 豊姫,Characters,Touhou Bougetsushou,Watatsuki no Toyohime
인요부문,동방맹월초,와타츠키노 요리히메,人妖部門,東方儚月抄,綿月 依姫,Characters,Touhou Bougetsushou,Watatsuki no Yorihime
인요부문,동방맹월초,레이센,人妖部門,東方儚月抄,レイセン,Characters,Touhou Bougetsushou,Reisen
인요부문,동방자가선,이바라키 카센,人妖部門,東方茨歌仙,茨木 華扇,Characters,Wild and Horned Hermit,Kasen Ibaraki
인요부문,동방자가선,"그림자 카센 (단선수악의 괴완, 이바라키도지의 팔)",人妖部門,東方茨歌仙,影華扇（断善修悪の怪腕 - 茨木童子の腕）,Characters,Wild and Horned Hermit,Kasen's arm
인요부문,동방자가선,오니 카센 (간녕사지의 오니),人妖部門,東方茨歌仙,鬼華扇（奸佞邪智の鬼）,Characters,Wild and Horned Hermit,Kasen's true form
인요부문,동방영나암,모토오리 코스즈,人妖部門,東方鈴奈庵,本居 小鈴,Characters,Forbidden Scrollery,Kosuzu Motoori
인요부문,동방취접화,오쿠노다 미요이,人妖部門,東方酔蝶華,奥野田 美宵,Characters,Lotus Eaters,Miyoi Okunoda
인요부문,동방지령기전,미야데구치 미즈치,人妖部門,東方智霊奇伝,宮出口瑞霊,Characters,Touhou Chireikiden,Mizuchi Miyadeguchi
인요부문,동방지령기전,선대 무녀,人妖部門,東方智霊奇伝,先代巫女,Characters,Touhou Chireikiden,Previous Hakurei Shrine Maiden
인요부문,기타(게임),루코토,人妖部門,その他（ゲーム）,るーこと,Characters,Other (Games),Ruukoto
인요부문,기타(게임),미미쨩,人妖部門,その他（ゲーム）,ミミちゃん,Characters,Other (Games),Mimi-Chan
인요부문,기타(게임),콘파쿠 요우키,人妖部門,その他（ゲーム）,魂魄 妖忌,Characters,Other (Games),Youki Konpaku
인요부문,기타(게임),레이라 프리즘리버,人妖部門,その他（ゲーム）,レイラ・プリズムリバー,Characters,Other (Games),Leila Prismriver
인요부문,기타(게임),핵열조신 비상천칙,人妖部門,その他（ゲーム）,核熱造神ヒソウテンソク,Characters,Other (Games),Hisoutensoku
인요부문,기타(게임),묘렌,人妖部門,その他（ゲーム）,命蓮,Characters,Other (Games),Myouren Hijiri
인요부문,기타(게임),비사문천,人妖部門,その他（ゲーム）,毘沙門天,Characters,Other (Games),Bishamonten
인요부문,기타(게임),상아,人妖部門,その他（ゲーム）,嫦娥,Characters,Other (Games),Chang'e
인요부문,기타(서적),이름없는 책읽는 요괴,人妖部門,その他（書籍）,名無しの本読み妖怪,Characters,Other (Books),Unnamed Book-Reading Youkai
인요부문,기타(서적),츠지노코,人妖部門,その他（書籍）,ツチノコ,Characters,Other (Books),Tsuchinoko
인요부문,기타(서적),술벌레,人妖部門,その他（書籍）,酒虫,Characters,Other (Books),Shuchuu
인요부문,기타(서적),달의 도시의 문지기,人妖部門,その他（書籍）,月の都の門番,Characters,Other (Books),Gateguards of the Lunar Capital
인요부문,기타(서적),미즈에 우라시마코,人妖部門,その他（書籍）,水江浦島子,Characters,Other (Books),Mizue no Uranoshimako
인요부문,기타(서적),이와카사,人妖部門,その他（書籍）,岩笠,Characters,Other (Books),Iwakasa
인요부문,기타(서적),코노하나사쿠야히메,人妖部門,その他（書籍）,木花咲耶姫,Characters,Other (Books),Konohana-Sakuyahime
인요부문,기타(서적),센다이시로 (복의 신),人妖部門,その他（書籍）,仙台四郎（福の神）,Characters,Other (Books),Shirou Sendai
인요부문,기타(서적),운쇼우,人妖部門,その他（書籍）,運松,Characters,Other (Books),Unshou
인요부문,기타(서적),자시키와라시,人妖部門,その他（書籍）,座敷童,Characters,Other (Books),Zashiki-warashi
인요부문,기타(서적),홉고블린,人妖部門,その他（書籍）,ホフゴブリン,Characters,Other (Books),Hobgoblin
인요부문,기타(서적),만자이라쿠,人妖部門,その他（書籍）,万歳楽,Characters,Other (Books),Manzairaku
인요부문,기타(서적),야마네,人妖部門,その他（書籍）,ヤマネ,Characters,Other (Books),Yamane
인요부문,기타(서적),케세란파사란,人妖部門,その他（書籍）,ケセランパサラン,Characters,Other (Books),Kesaran Pasaran
인요부문,기타(서적),코스즈의 부모,人妖部門,その他（書籍）,小鈴の両親,Characters,Other (Books),Kosuzu's parents
인요부문,기타(서적),엔엔라,人妖部門,その他（書籍）,煙々羅,Characters,Other (Books),Enenra
