대분류	소분류	한국어	일본어	영어
人妖部門	東方酔蝶華	오쿠노다 미요이	奥野田 美宵	Miyoi Okunoda
人妖部門	東方酔蝶華	鯢呑亭の店主	鯢呑亭の店主	The owner of the Geidon pub
人妖部門	東方酔蝶華	鯢呑亭の常連	鯢呑亭の常連	Regular customers of the Guidon pub
人妖部門	東方智霊奇伝	미야데구치 미즈치	宮出口瑞霊	Mizuchi Miyadeguchi
人妖部門	東方智霊奇伝	선대 무녀	先代巫女	Previous Hakurei Shrine Maiden
人妖部門	その他（ゲーム）	るーこと	るーこと	Ruukoto
人妖部門	その他（ゲーム）	ミミちゃん	ミミちゃん	Mimi-Chan
人妖部門	その他（ゲーム）	魂魄 妖忌	魂魄 妖忌	Youki Konpaku
人妖部門	その他（ゲーム）	レイラ・プリズムリバー	レイラ・プリズムリバー	Leila Prismriver
人妖部門	その他（ゲーム）	核熱造神ヒソウテンソク	核熱造神ヒソウテンソク	Hisoutensoku
人妖部門	その他（ゲーム）	命蓮	命蓮	Myouren Hijiri
人妖部門	その他（ゲーム）	毘沙門天	毘沙門天	Bishamonten
人妖部門	その他（ゲーム）	嫦娥	嫦娥	Chang'e
人妖部門	その他（書籍）	名無しの本読み妖怪	名無しの本読み妖怪	Unnamed Book-Reading Youkai
人妖部門	その他（書籍）	ツチノコ	ツチノコ	Tsuchinoko
人妖部門	その他（書籍）	酒虫	酒虫	Shuchuu
人妖部門	その他（書籍）	月の都の門番	月の都の門番	Gateguards of the Lunar Capital
人妖部門	その他（書籍）	水江浦島子	水江浦島子	Mizue no Uranoshimako
人妖部門	その他（書籍）	岩笠	岩笠	Iwakasa
人妖部門	その他（書籍）	木花咲耶姫	木花咲耶姫	Konohana-Sakuyahime
人妖部門	その他（書籍）	仙台四郎（福の神）	仙台四郎（福の神）	Shirou Sendai
人妖部門	その他（書籍）	運松	運松	Unshou
人妖部門	その他（書籍）	座敷童	座敷童	Zashiki-warashi
人妖部門	その他（書籍）	ホフゴブリン	ホフゴブリン	Hobgoblin
人妖部門	その他（書籍）	万歳楽	万歳楽	Manzairaku
人妖部門	その他（書籍）	ヤマネ	ヤマネ	Yamane
人妖部門	その他（書籍）	ケセランパサラン	ケセランパサラン	Kesaran Pasaran
人妖部門	その他（書籍）	小鈴の両親	小鈴の両親	Kosuzu's parents
人妖部門	その他（書籍）	煙々羅	煙々羅	Enenra
人妖部門	その他（書籍）	チュパカブラ	チュパカブラ	Chupacabra
人妖部門	その他（書籍）	沓頬	沓頬	Kutsutsura
人妖部門	その他（書籍）	ウワバミ	ウワバミ	Uwabami (large snake)
人妖部門	その他（書籍）	易者	易者	The Fortune-teller
人妖部門	その他（書籍）	抗鬱薬おじさん	抗鬱薬おじさん	antidepressant uncle
人妖部門	その他（書籍）	なめえもん	なめえもん	Nameemon
人妖部門	その他（書籍）	塩屋敷の旦那	塩屋敷の旦那	master of salt mansion
人妖部門	その他（複合）	妖精（メイド妖精・ひまわり妖精 他）	妖精（メイド妖精・ひまわり妖精 他）	Fairy (Fairy Maids, Sunflower Fairy etc.)
人妖部門	その他（複合）	幽霊（怨霊、神霊、化け化け含む）	幽霊（怨霊、神霊、化け化け含む）	Phantom (Vengeful spirit, Divine Spirit, include Bakebake)
人妖部門	その他（複合）	毛玉	毛玉	Kedama
人妖部門	その他（複合）	UFO（赤・青・緑、その他）	UFO（赤・青・緑、その他）	Undefined Fantastic Object（Red, Blue, Green etc.)
人妖部門	その他（複合）	兎（玉兎、永遠亭の妖怪兎 他）	兎（玉兎、永遠亭の妖怪兎 他）	Rabbits (Moon Rabbit, Eientei rabbits etc.)
人妖部門	その他（複合）	狸（化け狸、野鉄砲他）	狸（化け狸、野鉄砲他）	Tanuki (Bake-danuki, Nodeppou etc.)
人妖部門	その他（複合）	狐（妖怪狐、狐の子他）	狐（妖怪狐、狐の子他）	Kitsune (youkai kitsune, little fox etc.)
人妖部門	その他（複合）	カラス（地獄鴉、紫・文の使い魔 他）	カラス（地獄鴉、紫・文の使い魔 他）	Crow, Raven (Hell ravens, Yukari's and Aya's familiar etc.)
人妖部門	その他（複合）	河童（山童含む）	河童（山童含む）	Kappa (include Yamawaro)
人妖部門	その他（複合）	天狗（香霖堂の天狗、大天狗 他）	天狗（香霖堂の天狗、大天狗 他）	Tengu (Kourindou Tengu, Great Tengu etc.)
人妖部門	その他（複合）	龍（子龍、邪龍 他）	龍（子龍、邪龍 他）	Dragon (small Dragon, Evil Dragon etc.)
人妖部門	その他（複合）	里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）	里の人間（文花帖、求聞史紀、鈴奈庵などで登場した人間）	Village human (Humans who appeared in Bunkachou, Fumiki Komon, Suzunaan, etc.)
人妖部門	その他（複合）	アリスの人形（上海、蓬莱、大江戸 他）	アリスの人形（上海、蓬莱、大江戸 他）	Alice's dolls (Shanghai, Horai, Oedo, etc.)
人妖部門	その他（複合）	華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）	華扇の動物（久米、竿打、雷獣、彭祖、人面犬 他）	Kasen's animals (Kume, Kanda, Raijuu, Houso, Jinmenken etc.)
人妖部門	その他（複合）	神降ろしの神霊（天照、伊豆能売 他）	神降ろしの神霊（天照、伊豆能売 他）	Haunted spirit (Amaterasu, Izunome, etc.)
人妖部門	その他（複合）	都市伝説の怪異（お菊さん、八尺さま 他）	都市伝説の怪異（お菊さん、八尺さま 他）	Urban legend (Okiku-san, Hasshaku-sama, etc.)
人妖部門	その他（複合）	旧作名無し中ボス	旧作名無し中ボス	Old work nameless middle boss
人妖部門	その他（複合）	C62サークルカットの娘	C62サークルカットの娘	The girl on the C62 circle cut for Comiket catalog
音楽部門	東方紅魔郷	붉음보다 붉은 꿈	赤より紅い夢	A Dream More Scarlet than Red
音楽部門	東方紅魔郷	꽈리처럼 붉은 혼	ほおずきみたいに紅い魂	A Soul as Scarlet as a Ground Cherry
音楽部門	東方紅魔郷	요마야행	妖魔夜行	Apparitions Stalk the Night
音楽部門	東方紅魔郷	루네이트 엘프	ルーネイトエルフ	Lunate Elf
音楽部門	東方紅魔郷	말괄량이 연랑	おてんば恋娘	Tomboyish Girl in Love
音楽部門	東方紅魔郷	상해홍차관 ~ Chinese Tea	上海紅茶館　～ Chinese Tea	Shanghai Scarlet Teahouse ~ Chinese Tea
音楽部門	東方紅魔郷	메이지 17년의 상하이 앨리스	明治十七年の上海アリス	Shanghai Alice of Meiji 17
音楽部門	東方紅魔郷	브와르 마법 도서관	ヴワル魔法図書館	Voile, the Magic Library
音楽部門	東方紅魔郷	락드 걸 ~ 소녀밀실	ラクトガール　～ 少女密室	Locked Girl ~ The Girl's Sealed Room
音楽部門	東方紅魔郷	메이드와 피의 회중시계	メイドと血の懐中時計	The Maid and the Pocket Watch of Blood
音楽部門	東方紅魔郷	달시계 ~ 루나 다이얼	月時計　～ ルナ・ダイアル	Lunar Clock ~ Luna Dial
音楽部門	東方紅魔郷	체페슈의 어린 후예	ツェペシュの幼き末裔	The Young Descendant of Tepes
音楽部門	東方紅魔郷	죽은 왕녀를 위한 셉텟	亡き王女の為のセプテット	Septette for a Dead Princess
音楽部門	東方紅魔郷	마법소녀들의 백년제	魔法少女達の百年祭	The Centennial Festival for Magical Girls
音楽部門	東方紅魔郷	U.N.오웬은 그녀인가?	U.N.オーエンは彼女なのか？	U.N. Owen Was Her?
音楽部門	東方紅魔郷	붉음보다 덧없는 영원	紅より儚い永遠	An Eternity More Transient than Scarlet
音楽部門	東方紅魔郷	홍루 ~ Eastern Dream...	紅楼　～ Eastern Dream...	Scarlet Chamber ~ Eastern Dream...
